depto,superficie,"depto,superficie"
Artigas,11928,"Artigas,11928"
Canelones,4536,"Canelones,4536"
Cerro Largo,13648,"Cerro Largo,13648"
Colonia,6106,"Colonia,6106"
Durazno,11643,"Durazno,11643"
Flores,5144,"Flores,5144"
Florida,10417,"Florida,10417"
Lavalleja,10016,"Lavalleja,10016"
Maldonado,4793,"Maldonado,4793"
Montevideo,530,"Montevideo,530"
Paysandú,13922,"Paysandú,13922"
Río Negro,9282,"Río Negro,9282"
Rivera,9370,"Rivera,9370"
Rocha,10551,"Rocha,10551"
Salto,14163,"Salto,14163"
San José,4992,"San José,4992"
Soriano,9008,"Soriano,9008"
Tacuarembó,15438,"Tacuarembó,15438"
Treinta y Tres,9529,"Treinta y Tres,9529"
